"Date","Spot exchange rate, Swiss Franc into Sterling              [a] [a] [a]             XUDLSFS"
"30 Oct 25","1.0544"
"29 Oct 25","1.0537"
"28 Oct 25","1.0526"
"27 Oct 25","1.0617"
"24 Oct 25","1.0578"
"23 Oct 25","1.0596"
"22 Oct 25","1.0626"
"21 Oct 25","1.0641"
"20 Oct 25","1.0609"
"17 Oct 25","1.0614"
"16 Oct 25","1.0681"
"15 Oct 25","1.0674"
"14 Oct 25","1.0663"
"13 Oct 25","1.0732"
"10 Oct 25","1.0707"
"09 Oct 25","1.0726"
"08 Oct 25","1.0744"
"07 Oct 25","1.0719"
"06 Oct 25","1.0721"
"03 Oct 25","1.0714"
"02 Oct 25","1.0714"
"01 Oct 25","1.0766"
"30 Sep 25","1.0711"
"29 Sep 25","1.0702"
"26 Sep 25","1.0701"
"25 Sep 25","1.0682"
"24 Sep 25","1.0685"
"23 Sep 25","1.0724"
"22 Sep 25","1.0711"
"19 Sep 25","1.0719"
"18 Sep 25","1.0738"
"17 Sep 25","1.0748"
"16 Sep 25","1.0756"
"15 Sep 25","1.0801"
"12 Sep 25","1.0803"
"11 Sep 25","1.079"
"10 Sep 25","1.0802"
"09 Sep 25","1.0767"
"08 Sep 25","1.0744"
"05 Sep 25","1.0786"
"04 Sep 25","1.083"
"03 Sep 25","1.0794"
"02 Sep 25","1.0754"
"01 Sep 25","1.0841"
"29 Aug 25","1.0795"
"28 Aug 25","1.0835"
"27 Aug 25","1.0821"
"26 Aug 25","1.0835"
"22 Aug 25","1.0841"
"21 Aug 25","1.0849"
"20 Aug 25","1.0828"
"19 Aug 25","1.0886"
"18 Aug 25","1.0909"
"15 Aug 25","1.0918"
"14 Aug 25","1.0941"
"13 Aug 25","1.0911"
"12 Aug 25","1.0915"
"11 Aug 25","1.0895"
"08 Aug 25","1.0852"
"07 Aug 25","1.083"
"06 Aug 25","1.0764"
"05 Aug 25","1.0729"
"04 Aug 25","1.0746"
"01 Aug 25","1.0696"
"31 Jul 25","1.0745"
"30 Jul 25","1.0776"
"29 Jul 25","1.076"
"28 Jul 25","1.0744"
"25 Jul 25","1.07"
"24 Jul 25","1.0764"
"23 Jul 25","1.0764"
"22 Jul 25","1.0742"
"21 Jul 25","1.0765"
"18 Jul 25","1.0755"
"17 Jul 25","1.0795"
"16 Jul 25","1.0773"
"15 Jul 25","1.0725"
"14 Jul 25","1.0714"
"11 Jul 25","1.0755"
"10 Jul 25","1.0809"
"09 Jul 25","1.0802"
"08 Jul 25","1.0809"
"07 Jul 25","1.0867"
"04 Jul 25","1.0825"
"03 Jul 25","1.0863"
"02 Jul 25","1.0786"
"01 Jul 25","1.0861"
"30 Jun 25","1.0908"
"27 Jun 25","1.0968"
"26 Jun 25","1.0984"
"25 Jun 25","1.098"
"24 Jun 25","1.097"
"23 Jun 25","1.0977"
"20 Jun 25","1.1012"
"19 Jun 25","1.0997"
"18 Jun 25","1.1002"
"17 Jun 25","1.1022"
"16 Jun 25","1.1024"
"13 Jun 25","1.1023"
"12 Jun 25","1.1054"
"11 Jun 25","1.1098"
"10 Jun 25","1.1108"
"09 Jun 25","1.113"
"06 Jun 25","1.1136"
"05 Jun 25","1.1143"
"04 Jun 25","1.1111"
"03 Jun 25","1.1137"
"02 Jun 25","1.1069"
"30 May 25","1.1075"
"29 May 25","1.1116"
"28 May 25","1.113"
"27 May 25","1.1179"
"23 May 25","1.1083"
"22 May 25","1.1126"
"21 May 25","1.1077"
"20 May 25","1.1112"
"19 May 25","1.1127"
"16 May 25","1.1134"
"15 May 25","1.1114"
"14 May 25","1.1167"
"13 May 25","1.116"
"12 May 25","1.1135"
"09 May 25","1.103"
"08 May 25","1.1009"
"07 May 25","1.0964"
"06 May 25","1.1019"
"02 May 25","1.0969"
"01 May 25","1.1067"
"30 Apr 25","1.0975"
"29 Apr 25","1.1035"
"28 Apr 25","1.1053"
"25 Apr 25","1.1042"
"24 Apr 25","1.1008"
"23 Apr 25","1.0993"
"22 Apr 25","1.0891"
"17 Apr 25","1.085"
"16 Apr 25","1.0809"
"15 Apr 25","1.0829"
"14 Apr 25","1.0776"
"11 Apr 25","1.064"
"10 Apr 25","1.0802"
"09 Apr 25","1.0722"
"08 Apr 25","1.0951"
"07 Apr 25","1.098"
"04 Apr 25","1.1079"
"03 Apr 25","1.127"
"02 Apr 25","1.1439"
"01 Apr 25","1.1407"
"31 Mar 25","1.142"
"28 Mar 25","1.1401"
"27 Mar 25","1.143"
"26 Mar 25","1.139"
"25 Mar 25","1.1418"
"24 Mar 25","1.1418"
"21 Mar 25","1.139"
"20 Mar 25","1.145"
"19 Mar 25","1.1411"
"18 Mar 25","1.1392"
"17 Mar 25","1.1442"
"14 Mar 25","1.1436"
"13 Mar 25","1.1454"
"12 Mar 25","1.1448"
"11 Mar 25","1.1393"
"10 Mar 25","1.1372"
"07 Mar 25","1.1358"
"06 Mar 25","1.1423"
"05 Mar 25","1.1433"
"04 Mar 25","1.1321"
"03 Mar 25","1.1408"
"28 Feb 25","1.1362"
"27 Feb 25","1.1355"
"26 Feb 25","1.1346"
"25 Feb 25","1.1307"
"24 Feb 25","1.1319"
"21 Feb 25","1.137"
"20 Feb 25","1.1373"
"19 Feb 25","1.1378"
"18 Feb 25","1.1374"
"17 Feb 25","1.1359"
"14 Feb 25","1.1328"
"13 Feb 25","1.1335"
"12 Feb 25","1.1357"
"11 Feb 25","1.1329"
"10 Feb 25","1.1279"
"07 Feb 25","1.1297"
"06 Feb 25","1.1237"
"05 Feb 25","1.1272"
"04 Feb 25","1.1302"
"03 Feb 25","1.1315"
"31 Jan 25","1.1284"
"30 Jan 25","1.1311"
"29 Jan 25","1.1271"
"28 Jan 25","1.1261"
"27 Jan 25","1.1234"
"24 Jan 25","1.1294"
"23 Jan 25","1.1205"
"22 Jan 25","1.1169"
"21 Jan 25","1.1163"
"20 Jan 25","1.1165"
"17 Jan 25","1.1145"
"16 Jan 25","1.1155"
"15 Jan 25","1.1176"
"14 Jan 25","1.1157"
"13 Jan 25","1.1174"
"10 Jan 25","1.1208"
"09 Jan 25","1.1223"
"08 Jan 25","1.1247"
"07 Jan 25","1.1346"
"06 Jan 25","1.1318"
"03 Jan 25","1.1296"
"02 Jan 25","1.1271"
"31 Dec 24","1.1355"
"30 Dec 24","1.1342"
"27 Dec 24","1.1337"
"24 Dec 24","1.1296"
"23 Dec 24","1.1267"
"20 Dec 24","1.1219"
"19 Dec 24","1.1268"
"18 Dec 24","1.1334"
"17 Dec 24","1.1368"
"16 Dec 24","1.1326"
"13 Dec 24","1.1272"
"12 Dec 24","1.1278"
"11 Dec 24","1.1268"
"10 Dec 24","1.124"
"09 Dec 24","1.1213"
"06 Dec 24","1.1178"
"05 Dec 24","1.1224"
"04 Dec 24","1.1231"
"03 Dec 24","1.1208"
"02 Dec 24","1.1212"
"29 Nov 24","1.1197"
"28 Nov 24","1.1201"
"27 Nov 24","1.117"
"26 Nov 24","1.115"
"25 Nov 24","1.1139"
"22 Nov 24","1.1195"
"21 Nov 24","1.1165"
"20 Nov 24","1.1205"
"19 Nov 24","1.1171"
"18 Nov 24","1.1196"
"15 Nov 24","1.1213"
"14 Nov 24","1.1279"
"13 Nov 24","1.1241"
"12 Nov 24","1.1261"
"11 Nov 24","1.1324"
"08 Nov 24","1.1302"
"07 Nov 24","1.1328"
"06 Nov 24","1.1282"
"05 Nov 24","1.1238"
"04 Nov 24","1.1199"
"01 Nov 24","1.1279"
"31 Oct 24","1.1117"
"30 Oct 24","1.1274"
"29 Oct 24","1.1294"
"28 Oct 24","1.1239"
"25 Oct 24","1.1253"
"24 Oct 24","1.1227"
"23 Oct 24","1.1226"
"22 Oct 24","1.1227"
"21 Oct 24","1.1247"
"18 Oct 24","1.1279"
"17 Oct 24","1.1243"
"16 Oct 24","1.1242"
"15 Oct 24","1.1287"
"14 Oct 24","1.1271"
"11 Oct 24","1.1209"
"10 Oct 24","1.1198"
"09 Oct 24","1.1232"
"08 Oct 24","1.1231"
"07 Oct 24","1.1196"
"04 Oct 24","1.126"
"03 Oct 24","1.1185"
"02 Oct 24","1.127"
"01 Oct 24","1.1231"
"30 Sep 24","1.1315"
"27 Sep 24","1.1287"
"26 Sep 24","1.1355"
"25 Sep 24","1.1353"
"24 Sep 24","1.1326"
"23 Sep 24","1.1318"
"20 Sep 24","1.1293"
"19 Sep 24","1.1239"
"18 Sep 24","1.1174"
"17 Sep 24","1.1163"
"16 Sep 24","1.1157"
"13 Sep 24","1.1152"
"12 Sep 24","1.1166"
"11 Sep 24","1.1044"
"10 Sep 24","1.1067"
"09 Sep 24","1.1083"
"06 Sep 24","1.1089"
"05 Sep 24","1.1162"
"04 Sep 24","1.1157"
"03 Sep 24","1.1128"
"02 Sep 24","1.1193"
"30 Aug 24","1.115"
"29 Aug 24","1.1163"
"28 Aug 24","1.1126"
"27 Aug 24","1.1156"
"23 Aug 24","1.1197"
"22 Aug 24","1.1167"
"21 Aug 24","1.1145"
"20 Aug 24","1.117"
"19 Aug 24","1.1213"
"16 Aug 24","1.1193"
"15 Aug 24","1.1196"
"14 Aug 24","1.1099"
"13 Aug 24","1.1099"
"12 Aug 24","1.11"
"09 Aug 24","1.1037"
"08 Aug 24","1.0996"
"07 Aug 24","1.0999"
"06 Aug 24","1.0832"
"05 Aug 24","1.0831"
"02 Aug 24","1.1002"
"01 Aug 24","1.118"
"31 Jul 24","1.1303"
"30 Jul 24","1.1366"
"29 Jul 24","1.1387"
"26 Jul 24","1.1349"
"25 Jul 24","1.1329"
"24 Jul 24","1.1417"
"23 Jul 24","1.1518"
"22 Jul 24","1.1485"
"19 Jul 24","1.1478"
"18 Jul 24","1.1475"
"17 Jul 24","1.1534"
"16 Jul 24","1.1602"
"15 Jul 24","1.162"
"12 Jul 24","1.1616"
"11 Jul 24","1.155"
"10 Jul 24","1.1541"
"09 Jul 24","1.1488"
"08 Jul 24","1.1511"
"05 Jul 24","1.1493"
